code,公司,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg
2031,新光鋼,0.025471893,349865,-0.515565353,-0.00683699,8.23,0,0.00589993,-0.05,0.01
2032,新鋼,-0.011027028,84860,-5.077063515,0.000463432,-7.43,0,-0.00461487,0.03,0.01
2033,佳大,-0.002634741,58458,-18.83343502,-0.005829327,-11.59,0,0.00343358,0.66,0
2034,允強,-0.010603848,939308,-5.836732697,-0.240868696,-11.78,0.000339274,-0.016054855,-2.02,-0.01
2038,海光,0.000642177,109869,17.10927971,0.051927951,0.44,0,-0.000824322,-0.05,0.04
2049,上銀,0.038737001,4770366,1.394152693,0.002851287,15.54,0,0.004383119,-1.45,0
2059,川湖,0.13136672,3278065,0.212459532,-0.080367752,-67.48,0,0.023585296,2.65,0.02
2062,橋椿,0.024688893,1278355,3.033518125,-0.09592911,-36.81,0,0.008096074,0.55,0.02
2069,運錩,-0.017518002,-91680,-0.397012687,0.198774002,6.05,0,0.000518937,0.43,0.04
2101,南港,0.001233396,-2781975,-55.19572586,0.078089198,2.82,0,0.001589286,1.47,0
2102,泰豐,-0.086499153,-450486,-0.62193595,-0.007216012,-0.8,0,-0.018534767,-12.02,-0.01
2103,台橡,0.02557398,2717285,1.796959179,0.305329329,4.3,0,0.008718186,0.59,0
2104,國際中橡,-0.008349969,3064171,-7.4565817,-0.091490326,-15.73,0,-0.002082673,0.2,0
2105,正新,0.052131696,21210298,1.873590355,-0.078747276,-22.82,0,0.012710371,0.62,-0.01
2106,建大,0.020083439,5619871,5.399503287,-0.081212437,6.37,0,0.010528303,1.5,0.01
2107,厚生,0.034590601,682692,0.381629196,-0.073518863,58.01,0,-0.000358498,0.35,0
2108,南帝,0.055660709,1260519,0.323831229,-0.02063525,-95.05,0,0.010075011,0.35,-0.01
2109,華豐,0.021066828,530882,2.172494159,3.004759804,121.52,0,0.014825769,3.07,0
2114,鑫永銓,0.123339717,449868,-0.041326682,-0.05538816,-69.92,0,0.029851541,0.28,0
2201,裕隆,0.021375827,-13006576,-2.569260932,-0.079027481,-1.04,1.21495E-06,0.004221392,-0.97,0.01
2204,中華,0.119273303,4261397,-0.290610749,0.349248103,7.6,0,0.024391514,-0.41,0.02
2206,三陽工業,0.081421708,6932980,0.356353388,0.025142956,-1.52,0,0.013786883,-0.22,-0.04
2207,和泰車,0.05339502,-19170904,-1.738945661,0.329609024,4.07,0,0.008556675,-0.26,-0.02
2208,台船,-0.103407009,8331339,-3.050162842,0.002060926,-0.23,0,-0.007387153,0.05,-0.03
2211,長榮鋼,0.119992937,4017598,-0.068432108,0.030927371,-6.49,0,0.00865768,1.12,-0.04
2227,裕日車,0.049623657,1157134,0.03152334,0.368855187,140.97,0,0.013417177,-1.32,0.03
2228,劍麟,0.084844681,1293049,1.483991063,0.05759399,-12.41,0,0.021319671,0.88,-0.01
2231,為升,0.030044221,-601526,-2.952575405,0.031837799,-8.67,0,-0.007330092,-3.18,-0.01
2233,宇隆,0.102220344,894653,0.693837908,0.271406914,-17.56,0,0.023348902,1.18,-0.01
2241,艾姆勒,-0.089167453,48110,-1.198457223,-0.305354992,141.47,0.167406417,-0.029009009,1.56,0.01
2247,汎德永業,0.080390072,2813388,0.5723409,-0.012327267,-5.01,0,0.014634923,0.37,-0.2
2301,光寶科,0.072475024,27265558,0.990801539,-0.019141562,6.77,-0.006382699,0.032039383,0,0.02
2302,麗正,0.032143227,143566,0.913396951,-0.054506466,-95.52,0,-0.000810932,1.04,-0.04
2303,聯電,0.109027493,85999709,0.410600211,-0.043646219,-19.22,0.002134104,0.022114423,-0.83,0
2305,全友,-0.001545111,126891,-29.6759322,-0.045314462,-108,0,-0.009322542,0.32,0.01
2308,台達電,0.081480008,71086413,0.905945286,-0.035220564,4.46,0,0.019059182,0.39,0
2312,金寶,0.008658896,16100302,14.93374655,0.091775264,16.14,0.001478797,-0.003848738,-0.45,0.05
2313,華通,0.053148934,10450734,1.485570788,-0.02154223,12.37,0,0.020215234,0.71,0.06
2314,台揚,-0.116978659,-197494,-0.691827805,-0.101318561,6,0.058816536,-0.048153207,-1.17,-0.07
2316,楠梓電,-0.009131032,70428,-1.53883172,-0.040612149,36.72,0,-0.015132113,-0.07,0
2317,鴻海,0.037707873,445552717,1.999121742,-0.052454947,2.5,0,0.014459479,-0.07,0.13
2321,東訊,-0.014758248,51455,-3.489958868,-0.470836278,-36.03,0,-0.002001049,0.32,0.03
2323,中環,0.025257321,691360,0.073672081,0.777354254,96.06,0,-0.008036517,0.55,-0.01
2324,仁寶,0.021897984,29677204,2.10288064,0.103222156,4.08,0,0.0066238,0.06,0.11
2327,國巨,0.05110293,31067415,0.834713735,0.195240527,-9.65,4.72651E-07,0.01190739,0.34,-0.01
2328,廣宇,0.061246268,4435586,1.968460178,-0.044903536,-2.2,0,0.016806763,0.52,0.01
2329,華泰,0.10217053,2646863,0.402843675,-0.398501862,-12.1,0,0.032463851,2.08,0.04
2330,台積電,0.150333833,1241967347,0.493283042,-0.005411568,25.48,0,0.041692183,-0.54,0.02
2331,精英,0.031254885,1725919,1.39959597,1.066193862,6.01,0,0.001331925,-0.1,-0.04
2332,友訊,0.010255656,1086855,5.376124184,-0.040075602,20.06,0,-0.004304985,-1.18,0.01
2337,旺宏,-0.021829724,-525712,-0.690503314,-0.017097774,0.23,0,-0.013152017,-1.43,-0.02
2338,光罩,0.012354438,817027,2.160584902,0.010496661,-0.03,0,0.001662913,-0.79,0
